TASB, 2.484907
OAHO, 2.397895
SAXJ, 0.000000
SMOI, 1.609438
FROI, 0.693147
DBYV, 2.995732
WSSP, 1.098612
WAON, 0.000000
OBAD, 2.772589
NCTC, 1.791759
KBIT, 0.693147
RADG, 0.000000
EDSC, 4.454347
SRSS, 0.000000
OJOU, 2.302585
ERHB, 0.000000
HNKN, 0.000000
NOFW, 4.574711
UIZM, 0.000000
TAAR, 2.944439
MGYM, 0.000000
LPDA, 0.000000
AKOF, 3.610918
WSAV, 0.693147
WPUN, 1.098612
ROGY, 0.000000
RETH, 7.757051
TOWA, 6.444131
CORS, 2.484907
DESV, 0.000000
OPYM, 0.693147
MIDO, 2.397895
ZAPO, 0.000000
MEOD, 1.098612
RRAY, 3.737670
BLEC, 5.147494
KARA, 2.197225
DEBR, 3.135494
TMEY, 1.386294
ULAD, 1.609438
APCH, 0.000000
ETNU, 1.098612
DGRU, 1.609438
AHJN, 0.000000
FMYK, 0.000000
SADB, 0.000000
EJWB, 0.000000
IDBA, 2.944439
PMOR, 2.302585
BBFE, 0.693147
WOLO, 1.791759
TNEB, 0.000000
BINE, 4.663439
KSEV, 2.302585
ISVA, 3.688879
EJET, 2.197225
EBYS, 3.850148
AILJ, 0.000000
AKAW, 1.386294
WOWH, 1.791759
RLOQ, 0.000000
NGMM, 0.693147
TSWH, 5.771441
OSDI, 3.135494
MNAS, 3.258097
XELH, 1.098612
WDYD, 0.000000
GNRO, 0.693147
EPHW, 0.693147
EROF, 7.303170
FFIV, 3.401197
XSUP, 0.693147
BIWA, 2.302585
OTJA, 0.000000
UTHW, 4.543295
DSKN, 1.098612
GGHA, 1.098612
RICM, 1.791759
WEHW, 0.000000
POFS, 3.465736
MJUN, 1.386294
EVOC, 3.784190
GASL, 2.197225
MRME, 1.098612
UDES, 5.062595
SDRC, 1.386294
YATN, 2.079442
FJWA, 0.000000
TFEM, 1.609438
RYJU, 2.708050
ANDZ, 2.708050
PTTI, 1.609438
SHKE, 1.386294
RWIV, 2.079442
BOBU, 0.000000
ADJI, 0.693147
DHAK, 0.000000
VEDC, 3.496508
EURI, 3.332205
DGOT, 4.356709
CUEO, 1.098612
LFTW, 0.693147
TIIS, 0.000000
NFBU, 0.000000
VENS, 5.111988
RNYO, 2.564949
GROM, 2.564949
TULY, 0.693147
DNAG, 1.386294
PIDD, 2.079442
IGSK, 0.693147
AAWI, 0.000000
ECHG, 1.098612
NSVO, 2.639057
NGYF, 0.693147
TURT, 2.564949
TUDE, 6.408529
REWC, 2.772589
ISOU, 4.127134
HTAF, 3.091042
EZUR, 0.000000
KARP, 0.000000
ICFR, 3.332205
YBOA, 3.401197
DPUP, 1.609438
RDMU, 1.609438
AYUB, 0.000000
FGUT, 0.693147
RGOT, 4.465908
TGUN, 3.044522
BYGO, 3.583519
PYUN, 0.000000
DARE, 5.746203
OFLA, 5.402677
AYAW, 2.890372
SSCE, 3.091042
DEEI, 0.000000
LSGO, 1.609438
NHEM, 3.688879
SEPP, 1.098612
RJUM, 1.098612
NLIE, 2.833213
EDSY, 2.995732
DPAU, 1.945910
ECKY, 1.098612
INEX, 4.820282
STEX, 4.343805
SSOF, 6.363028
EWBA, 3.465736
NRYG, 0.693147
HHUR, 1.609438
OHHY, 0.000000
KEYB, 2.639057
OLBR, 1.386294
MEHT, 0.693147
DFES, 0.000000
LHAV, 5.257495
LINP, 2.995732
OSPR, 2.708050
BUSD, 1.609438
NITO, 4.143135
UMUP, 0.693147
RCIN, 3.433987
FBAN, 2.397895
OIND, 4.330733
RYFO, 5.003946
TENG, 3.912023
RACH, 4.875197
PDAN, 0.000000
OUND, 7.879291
UGHN, 4.234107
SIXA, 2.197225
DNON, 4.043051
CVAS, 0.000000
XIRE, 0.000000
ECTD, 3.044522
MRCL, 2.639057
WOHI, 0.000000
LTSL, 1.609438
SOPE, 5.129899
VWIL, 1.098612
YETM, 2.197225
AECK, 0.000000
WLAG, 0.693147
ARBR, 3.091042
SOMC, 1.098612
HTYT, 2.079442
RGAY, 0.693147
TIPI, 1.098612
LIOB, 1.098612
WEIL, 0.693147
ASFT, 1.791759
LTGI, 0.000000
BYVI, 3.178054
NGJF, 0.000000
MHOS, 0.000000
TAHO, 3.091042
CSBU, 2.397895
BONZ, 0.693147
PWAK, 0.000000
OLDK, 2.197225
KCBU, 0.000000
OEBB, 0.000000
ECRO, 4.962845
ECTO, 6.220590
OFWI, 4.454347
RLDH, 3.610918
ACKQ, 0.000000
VEGR, 3.891820
ERER, 5.433722
LLYP, 4.744932
YUMT, 0.000000
INYA, 2.484907
NIUS, 3.367296
KEGF, 0.000000
XEDY, 0.000000
WASD, 5.934894
PROL, 3.891820
RNAM, 4.672829
